date,headcount,type
1/15/25,11,actual
2/19/25,10,actual
3/19/25,9,estimate
4/16/25,9,actual
5/21/25,9,estimate
6/18/25,9,estimate
7/16/25,9,actual
8/20/25,8,actual
9/17/25,16,actual
10/15/25,15,actual
11/19/25,30,actual
12/17/25,15,actual
1/21/26,14,actual
2/18/26,15,actual
3/18/26,11,actual
